OBJECTID,TAG,CODE,ROUTE,ACCOUNTNUM,PEANO,FEEDERID,OWNER,INSTALLATI,LATITUDE,LONGITUDE,"Lat, Long"
592450,1150MT000211841,AFAG,130,228084,17115199,FAA04,PEA,6007507219,19.80086354,99.30207152,"19.8008635408, 99.3020715194"
2212522,11MTAA000420827,AFAG,192,228811,5700550967,FAA04,PEA,6018896411,19.79759925,99.30246899,"19.7975992482, 99.3024689908"
1830406,11MTAA000164424,AFAG,192,-,27751877,FAA04,PEA,6016646078,19.7977066,99.30274594,"19.7977065973, 99.3027459377"
1934494,11MTAA000225135,AFAG,192,-,29562737,FAA04,PEA,6017770542,19.78510998,99.3155939,"19.7851099806, 99.3155938954"
592979,1150MT000212370,AFAG,192,001603,16126290,FAA04,PEA,6007657571,19.78601247,99.31578333,"19.7860124676, 99.3157833346"
593195,1150MT000212586,AFAG,192,004000,15544481,FAA04,PEA,6007657884,19.78676659,99.31604042,"19.7867665861, 99.3160404188"
592468,1150MT000211859,AFAG,192,005600,18703215,FAA04,PEA,6007658361,19.78851437,99.31699999,"19.7885143661, 99.3169999941"
2998807,11MTAA000857807,AFAG,54,564806,5900098680,FAA03,PEA,6021857992,19.92685433,99.15617208,"19.9268543321, 99.1561720787"
620797,1150MT000240188,AFAG,28,297005,29026451,FAA06,PEA,6006905835,19.86480831,99.18237566,"19.8648083134, 99.1823756585"
620812,1150MT000240203,AFAG,28,296324,26050909,FAA06,,6006904269,19.86535386,99.1827335,"19.8653538594, 99.1827335032"
620894,1150MT000240285,AFAG,122,271300,6200831304,FAA06,PEA,6007460894,19.86897795,99.1846563,"19.8689779515, 99.1846563036"
620711,1150MT000240102,AFAG,122,269701,25008156,FAA06,,6007458035,19.87005049,99.18682996,"19.8700504937, 99.1868299624"
620719,1150MT000240110,AFAG,122,269720,6200830852,FAA06,PEA,6007458060,19.86978853,99.18726195,"19.8697885337, 99.1872619546"
620102,1150MT000239493,AFAG,104,260300,26563227,FAA06,,6007358395,19.87258935,99.18799243,"19.8725893476, 99.1879924316"
2143137,11MTAA000379220,AFAG,104,258005,5901251395,FAA06,,6007357283,19.87393381,99.18886172,"19.8739338058, 99.1888617226"
620013,1150MT000239404,AFAG,24,254221,22935038,FAA06,,6006887657,19.87665414,99.19099652,"19.8766541389, 99.1909965201"
619980,1150MT000239371,AFAG,24,252701,5800188826,FAA06,,6006886776,19.87809666,99.1918921,"19.8780966564, 99.1918921026"
2968067,11MTAA000842143,AFAG,24,252096,6100942138,FAA06,PEA,6021760925,19.87726585,99.1949684,"19.8772658456, 99.194968404"
619173,1150MT000238564,AFAG,24,248702,26050174,FAA06,PEA,6006883454,19.88104093,99.19368496,"19.8810409291, 99.1936849647"
601896,1150MT000221287,AFAG,97,002900,6300308690,FAA04,PEA,6007313770,19.84600691,99.19784487,"19.8460069119, 99.1978448665"
601990,1150MT000221381,AFAG,75,425114,16639496,FAA04,PEA,6007215281,19.84990134,99.20015133,"19.8499013411, 99.2001513311"
619580,1150MT000238971,AFAG,151,201204,23078706,FAA06,,6007562585,19.88848319,99.19696227,"19.8884831948, 99.1969622732"
3236250,11MTAA000971742,AFAG,75,423301,6101046485,FAA04,PEA,6022438164,19.84718106,99.20328023,"19.8471810603, 99.2032802253"
601770,1150MT000221161,AFAG,40,415500,25796118,FAA04,PEA,6006973915,19.85095624,99.20145199,"19.850956242, 99.2014519948"
3083233,11MTAA000901198,AFAG,40,414500,22589763,FAA04,PEA,6006973107,19.85100455,99.20319041,"19.8510045504, 99.2031904072"
601981,1150MT000221372,AFAG,40,416628,18650568,FAA04,PEA,6006974761,19.84893889,99.20444253,"19.8489388891, 99.2044425301"
4840830,11MTAA001464427,AFAG,40,419566,6600584053,FAA04,PEA,6025286816,19.84793096,99.20501528,"19.847930963, 99.2050152764"
